user_id,outfit_id,interaction
<<<<<<< HEAD
9,2403,preference
9,2765,preference
9,2288,preference
9,2506,preference
9,2452,preference
9,1700,skip
9,2735,skip
9,2787,skip
9,2143,skip
9,2423,like
9,2146,skip
9,2597,skip
9,1949,skip
9,2764,skip
9,2554,skip
9,2734,like
9,2717,skip
9,2016,like
9,2786,skip
9,2006,skip
9,2261,skip
9,2438,skip
9,2779,skip
9,1636,skip
9,2217,skip
9,2526,like
9,2229,like
9,1676,skip
9,2741,skip
9,2740,like
9,2768,skip
9,2797,skip
9,1966,skip
9,2581,skip
9,2425,skip
9,1937,like
9,2280,skip
9,1855,skip
9,2024,skip
9,1637,skip
9,1976,skip
9,2027,skip
9,1706,skip
9,2254,skip
9,1644,skip
9,2199,skip
9,2789,like
9,1975,like
9,2772,skip
9,1835,skip
9,2755,skip
9,1932,skip
9,1908,skip
9,2472,like
9,2660,skip
9,2182,skip
9,1869,skip
9,2153,skip
9,1877,skip
9,2588,skip
9,1675,skip
9,1901,skip
9,2397,skip
9,1902,like
9,2017,skip
9,2784,skip
9,2716,skip
9,2436,skip
9,2859,skip
9,2138,like
9,2457,like
10,2833,preference
10,1924,preference
10,1900,preference
10,2325,preference
10,2543,preference
10,1915,skip
10,1877,skip
10,1955,skip
10,2470,skip
10,2826,skip
10,2816,skip
10,1889,skip
10,2012,like
10,2490,skip
10,1643,skip
10,1674,skip
10,2579,skip
10,2572,skip
10,1933,like
10,2223,skip
10,2819,skip
10,1861,skip
10,2858,skip
10,2227,skip
10,1981,skip
10,1881,skip
10,1950,skip
10,2450,skip
10,1859,skip
10,2251,skip
10,1720,skip
10,1893,skip
10,2811,skip
10,1686,skip
10,2265,skip
10,1972,skip
10,2821,like
10,2179,skip
10,1724,skip
10,2575,skip
10,1923,skip
10,2834,skip
10,2471,skip
10,2208,skip
10,1664,like
10,2168,skip
10,2563,skip
10,1647,skip
10,1690,skip
10,2479,like
10,1940,skip
10,1634,skip
10,2228,skip
10,2496,skip
10,2541,skip
10,1641,skip
10,2271,skip
10,2229,skip
10,2536,skip
10,2549,like
10,1865,skip
10,1645,skip
10,1726,skip
10,1663,skip
10,2507,skip
10,1671,skip
10,2207,skip
10,2825,skip
10,1878,skip
10,2446,skip
10,2570,skip
10,2382,skip
10,2064,skip
10,1713,skip
10,2300,skip
10,2832,skip
10,1763,skip
10,1997,skip
10,2502,skip
10,2614,skip
10,1983,skip
10,2618,skip
10,1795,skip
10,1934,skip
10,2145,skip
10,2752,skip
10,2672,skip
10,2736,skip
10,1826,skip
10,1644,skip
10,2523,skip
10,2749,skip
10,1747,skip
10,2190,skip
10,1715,like
10,2732,skip
10,2074,skip
10,2621,skip
10,1803,skip
11,1444,preference
11,1235,preference
11,610,preference
11,160,preference
11,1209,preference
11,1441,like
11,569,skip
11,1036,skip
11,1286,skip
11,27,skip
11,617,skip
11,156,skip
11,1494,skip
11,951,skip
11,1173,skip
11,650,like
11,392,like
11,1067,skip
11,1422,skip
11,1149,skip
11,921,skip
11,948,skip
11,700,skip
11,1472,like
11,503,skip
11,1242,skip
11,1129,skip
11,483,like
11,1586,skip
11,639,skip
11,291,skip
11,524,skip
11,244,skip
11,77,skip
11,1405,skip
11,1380,skip
11,193,skip
11,520,skip
11,605,skip
11,15,skip
11,390,skip
11,954,skip
11,622,skip
11,312,like
11,1147,skip
11,724,skip
11,1212,skip
11,95,skip
11,1026,skip
11,1324,skip
11,1377,skip
11,1261,skip
11,317,skip
11,435,skip
11,100,skip
11,96,like
11,438,skip
11,775,skip
11,1310,skip
11,592,skip
11,717,skip
11,808,skip
11,70,skip
11,83,skip
11,1445,skip
11,1118,skip
11,536,skip
11,308,skip
11,53,like
11,752,skip
11,1510,skip
11,1023,skip
11,535,like
11,1088,skip
11,789,skip
11,1037,skip
11,1548,skip
11,1560,skip
11,1113,skip
11,120,skip
11,1525,skip
11,1331,skip
11,537,skip
11,262,skip
11,36,like
11,1151,skip
11,602,skip
11,1597,skip
11,1179,skip
11,1352,skip
11,858,skip
12,1779,preference
12,2172,preference
12,2460,preference
12,1882,preference
12,2008,preference
12,2007,skip
12,1676,skip
12,2843,skip
12,1867,skip
12,2811,like
12,2227,skip
12,2195,skip
12,2006,like
12,2018,skip
12,2603,skip
12,1985,skip
12,2458,skip
12,1645,skip
12,2588,skip
12,1959,skip
12,2807,like
12,2015,skip
12,2270,skip
12,1946,skip
12,2518,skip
12,1875,skip
12,2276,skip
12,2230,skip
12,1726,skip
12,1933,like
12,2156,skip
12,2496,skip
12,2819,skip
12,2182,skip
12,1681,skip
12,1932,skip
12,2601,skip
12,1661,skip
12,2275,skip
12,2273,skip
12,1894,skip
12,2164,skip
12,1664,skip
12,2450,skip
12,2862,skip
12,1968,skip
12,2577,skip
12,1928,skip
12,2555,skip
12,1925,skip
12,2067,like
